Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.495,0.5365853658536586,0.7787610619469026,0.6353790613718412,0.4280337707252569
Random Forest,0.48,0.5290322580645161,0.7256637168141593,0.6119402985074627,0.42264266097039976
